ComponentName,FaultProbability
org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegratorTest:testDimensionCheck,0.13
org.apache.commons.math3.analysis.solvers.IllinoisSolverTest:getSolver,0.309
org.apache.commons.math3.optimization.direct.NelderMeadSimplex:iterate,0.28
org.apache.commons.math3.random.SynchronizedRandomGenerator:nextInt,0.038
org.apache.commons.math.MathRuntimeException:getArguments,0
org.apache.commons.math.ode.nonstiff.RungeKuttaStepInterpolator:readExternal,0
org.apache.commons.math.estimation.MinpackTest:testMinpackMeyer,0
org.apache.commons.math3.genetics.BinaryMutation:mutate,0.04
org.apache.commons.math3.TestUtils:assertEquals,0.19
org.apache.commons.math.stat.descriptive.DescriptiveStatistics:getGeometricMeanImpl,0
org.spaceroots.mantissa.geometry.Vector3D:angle,0
org.apache.commons.math3.geometry.euclidean.threed.RotationTest:testArray,0.02
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest:testConstant,0.038
org.apache.commons.math3.filter.KalmanFilter:getStateDimension,0.309
org.apache.commons.math.optimization.general.GaussNewtonOptimizerTest:addPoint,0
org.apache.commons.math3.stat.regression.SimpleRegressionTest:testRemoveObsFromSingle,0.06
org.apache.commons.math3.fraction.BigFractionTest:testFloatValueForLargeNumeratorAndDenominator,0.05
org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest:getExpectedValue,0.038
org.apache.commons.math3.stat.inference.TestUtilsTest:testTwoSampleTHeterscedastic,0.28
org.spaceroots.mantissa.optimization.MultiDirectionalTest:ValueChecker,0
org.apache.commons.math.optimization.fitting.CurveFitter:getObservations,0
org.apache.commons.math3.geometry.partitioning.RegionFactory:visitOrder,0.309
org.apache.commons.math.linear.BigMatrixImplTest:testMultiply2,0
org.apache.commons.math3.linear.SparseFieldVectorTest:testOuterProduct,0.02
org.apache.commons.math.complex.ComplexTest:testTanCritical,0
org.apache.commons.math.distribution.IntegerDistributionAbstractTest:getDistribution,0
org.apache.commons.math3.linear.LUSolverTest:testSolveSingularityErrors,0.02
org.apache.commons.math3.distribution.WeibullDistribution:cumulativeProbability,0.05
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest:testRedundantEquations,0.18
org.apache.commons.math.optimization.linear.SimplexSolverTest:test434PivotRowSelection2,0.08
org.apache.commons.math3.random.EmpiricalDistributionTest:inverseCumulativeProbability,0.038
org.apache.commons.math.linear.CholeskyDecompositionImplTest:suite,0
org.apache.commons.math.distribution.PascalDistribution:calculateNumericalMean,0.002
org.apache.commons.math3.analysis.solvers.BrentSolverTest:testBadEndpoints,0.02
org.apache.commons.math.distribution.GammaDistributionTest:makeCumulativeTestValues,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex:getPoints,0.038
org.apache.commons.math3.linear.BlockRealMatrixTest:testOperate,0.03
org.apache.commons.math3.linear.DiagonalMatrixTest:testAddNonDiagonalZero,0.038
org.spaceroots.mantissa.estimation.LevenbergMarquardtEstimatorTest:BrownAlmostLinearFunction,0
org.apache.commons.math.complex.ComplexUtils:<init>,0
org.apache.commons.math.stat.descriptive.moment.VectorialMean:increment,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest:testMath283,0.038
org.apache.commons.math3.analysis.function.Sqrt:derivative,0.13
org.spaceroots.mantissa.geometry.Vector3D:multiply,0
org.apache.commons.math3.stat.inference.TestUtils:gTest_pValue,0.038
org.apache.commons.math3.distribution.DiscreteIntegerDistributionTest:testSample,0.038
org.apache.commons.math3.util.FastMath:max,0.02
org.apache.commons.math3.special.GammaTest:testDigammaLargeArgs,0.02
org.apache.commons.math.fraction.BigFractionTest:testGetReducedFraction,0
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:resetRelativeAccuracy,0
org.apache.commons.math.FixedDoubleArray:addElement,0
org.apache.commons.math3.stat.descriptive.SummaryStatistics:checkEmpty,0.06
org.apache.commons.math3.geometry.euclidean.threed.Vector3DDSTest:testAdd,0.038
org.apache.commons.math.analysis.solvers.AbstractDifferentiableUnivariateRealSolver:computeDerivativeObjectiveValue,0.005
org.apache.commons.math.analysis.MonitoredFunction:setCallsCount,0
org.apache.commons.math.linear.CholeskySolverTest:testSolveDimensionErrors,0
org.apache.commons.math.analysis.UnivariateRealIntegratorImpl:getIterationCount,0
org.apache.commons.math.genetics.RandomKey:inducedPermutation,0.01
org.apache.commons.math3.dfp.DfpTest:testSpecialConstructors,0.038
org.apache.commons.math3.ode.events.ReappearingEventTest:testDormandPrince,0.095
org.apache.commons.math3.stat.descriptive.summary.SumTest:checkClearValue,0.309
org.apache.commons.math.stat.correlation.Covariance:computeCovarianceMatrix,0
org.apache.commons.math.geometry.RotationOrderTest:testName,0
org.spaceroots.mantissa.estimation.MinpackTest:getTheoreticalValue,0
org.apache.commons.math.linear.RealMatrixImplTest:testSetRow,0
org.apache.commons.math3.genetics.AbstractListChromosome:toString,0.309
org.apache.commons.math3.linear.SparseFieldMatrixTest:testOperate,0.02
org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatorTest:value,0.06
org.apache.commons.math3.linear.BlockRealMatrix:getFrobeniusNorm,0.05
org.apache.commons.math.ode.ContinuousOutputModelTest:testBoundaries,0
org.apache.commons.math3.ode.events.OverlappingEventsTest:resetState,0.309
org.apache.commons.math3.geometry.euclidean.threed.LineTest:testPointDistance,0.065
org.apache.commons.math.stat.correlation.PearsonsCorrelationTest:createRealMatrix,0
org.apache.commons.math3.analysis.integration.TrapezoidIntegratorTest:testSinFunction,0.02
org.apache.commons.math.linear.RealLinearOperator:getColumnDimension,0
org.apache.commons.math3.random.EmpiricalDistribution:isLoaded,0.309
org.apache.commons.math3.optimization.general.GaussNewtonOptimizer:doOptimize,0.16
org.apache.commons.math.stat.FrequencyTest:testAddNonComparable,0
org.apache.commons.math3.optim.univariate.BracketFinderTest:value,0.038
org.apache.commons.math.complex.ComplexTest:testAtan,0
org.apache.commons.math.MathRuntimeException:createInternalError,0
org.apache.commons.math3.linear.RealMatrixFormatAbstractTest:testParsePositiveInfinity,0.038
org.apache.commons.math3.stat.correlation.StorelessCovarianceTest:testLonglyByRow,0.09
org.apache.commons.math.transform.RealTransformerAbstractTest:testInverseTransformRealInvalidDataSize,0.073
org.apache.commons.math.ode.NordsieckTransformerTest:testDimension7,0
org.apache.commons.math3.AbstractExtendedFieldElementTest:testSubtractDouble,0.038
org.apache.commons.math.stat.ranking.NaturalRankingTest:<init>,0
org.apache.commons.math.geometry.euclidean.twoD.Line:setAngle,0
org.apache.commons.math.analysis.integration.SimpsonIntegrator:integrate,0
org.apache.commons.math.analysis.UnivariateRealIntegratorImpl:verifyIterationCount,0
org.spaceroots.mantissa.algebra.OrthogonalPolynomial:computeUpToDegree,0
org.apache.commons.math.linear.SparseRealVector:mapExpm1,0
org.apache.commons.math.linear.ArrayRealVector:mapRintToSelf,0.02
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapter:LowerBoundMapper,0.038
org.spaceroots.mantissa.estimation.LevenbergMarquardtEstimator:getRMS,0
org.apache.commons.math3.distribution.PoissonDistributionTest:testMean,0.095
org.apache.commons.math3.linear.Array2DRowRealMatrixTest:getCount,0.309
org.apache.commons.math3.distribution.PascalDistributionTest:testMoments,0.03
org.apache.commons.math.fraction.AbstractFormat:parseAndIgnoreWhitespace,0
org.apache.commons.math.linear.AbstractRealVector:mapInv,0
org.apache.commons.math3.distribution.GammaDistribution:sample,0.166
org.apache.commons.math3.optim.SimpleBounds:getUpper,0.038
org.apache.commons.math3.optimization.univariate.BracketFinderTest:value,0.309
org.apache.commons.math3.linear.MatrixUtils:checkSymmetric,0.038
org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizerTest:testComputeSigma,0.038
org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatistics:clear,0
org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapterTest:getBoundedXOptimum,0.309
org.apache.commons.math3.distribution.ExponentialDistribution:isSupportUpperBoundInclusive,0.309
org.apache.commons.math.stat.ranking.NaturalRankingTest:testNaNsAndInfs,0
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer:computeJacobian,0.038
org.apache.commons.math.ode.GraggBulirschStoerStepInterpolatorTest:reset,0
org.apache.commons.math.optimization.general.GaussNewtonOptimizerTest:partialDerivative,0
org.apache.commons.math3.stat.descriptive.SummaryStatistics:getSummary,0.095
org.apache.commons.math3.linear.RealVectorAbstractTest:testSet,0.038
org.apache.commons.math.complex.ComplexTest:testAsinInf,0
org.apache.commons.math.transform.FastFourierTransformerTest:testUnitaryInverseTransformFunctionSizeNotAPowerOfTwo,0.222
org.apache.commons.math.genetics.ListPopulation:getPopulationLimit,0
org.apache.commons.math.util.BigRealFieldTest:testSerial,0
org.apache.commons.math.ode.HighamHall54IntegratorTest:computeDerivatives,0
org.apache.commons.math.optimization.univariate.AbstractUnivariateRealOptimizer:computeObjectiveValue,0
org.apache.commons.math.util.OpenIntToDoubleHashMap:equals,0
org.apache.commons.math.complex.ComplexMathTest:testAtan,0
org.apache.commons.math.ode.MultistepIntegrator:<init>,0
org.apache.commons.math3.ode.events.EventFilterTest:testHistoryIncreasingBackward,0.038
org.apache.commons.math3.stat.descriptive.MultivariateSummaryStatistics:setImpl,0.065
org.apache.commons.math.estimation.GaussNewtonEstimatorTest:testCircleFitting,0
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizerAbstractTest:doTestStRD,0.02
org.apache.commons.math.distribution.TDistributionTest:testDfAccessors,0
org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest:setUp,0.03
org.apache.commons.math.linear.AbstractFieldMatrix:extractField,0
org.apache.commons.math3.linear.NonSymmetricMatrixException:getColumn,0.309
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest:testQuinticMin,0
org.apache.commons.math3.analysis.differentiation.DerivativeStructure:atan,0.038
org.apache.commons.math.linear.SparseRealVectorTest:mapSinhToSelf,0
org.apache.commons.math.distribution.ChiSquareDistributionTest:makeCumulativeTestValues,0.004
org.apache.commons.math3.util.DoubleArrayAbstractTest:testAdd1000,0.03
org.apache.commons.math3.ode.events.ReappearingEventTest:g,0.309
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest:testSerialization,0
org.apache.commons.math.linear.DenseRealMatrix:setEntry,0
org.apache.commons.math3.util.IterationManager:fireInitializationEvent,0.065
org.apache.commons.math.optimization.general.NonLinearConjugateGradientOptimizerTest:getRadius,0
org.apache.commons.math3.optimization.direct.SimplexOptimizerMultiDirectionalTest:testMinimize2,0.02
org.apache.commons.math3.linear.RealVectorFormatTest:getDecimalCharacter,0.309
org.apache.commons.math3.ode.sampling.StepNormalizer:storeStep,0.13
org.apache.commons.math.stat.descriptive.moment.VectorialCovariance:clear,0
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest:testMaximize,0.038
org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer:getFunctionValue,0
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer:updateJacobian,0.03
org.spaceroots.mantissa.geometry.Vector3DTest:testNorm,0
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest:checkRotationDS,0.038
org.apache.commons.math.stat.inference.TestUtils:getUnknownDistributionChiSquareTest,0
org.apache.commons.math3.primes.PrimesTest:testNextPrime,0.038
org.apache.commons.math.analysis.DividedDifferenceInterpolatorTest:partialerror,0
org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest:JennrichSampsonFunction,0.038
org.apache.commons.math.ode.nonstiff.ThreeEighthesStepInterpolator:computeInterpolatedStateAndDerivatives,0
org.apache.commons.math.distribution.PoissonDistribution:calculateNumericalVariance,0
org.spaceroots.mantissa.ode.DormandPrince54StepInterpolator:reinitialize,0
org.apache.commons.math3.optimization.general.MinpackTest:testMinpackPowellSingular,0.13
org.apache.commons.math.optimization.direct.MultivariateFunctionPenaltyAdapter:MultivariateRealFunctionPenaltyAdapter,0
org.apache.commons.math3.optimization.direct.SimplexOptimizerNelderMeadTest:Rosenbrock,0.309
org.apache.commons.math3.optim.nonlinear.vector.ModelFunctionJacobian:<init>,0.038
org.apache.commons.math.util.OpenIntToFieldHashMap:value,0
org.apache.commons.math.geometry.euclidean.twoD.Line:getPointAt,0
org.apache.commons.math.linear.OpenMapRealVector:mapAcos,0
org.apache.commons.math.random.RandomAdaptorTest:<init>,0
org.apache.commons.math3.linear.SymmLQTest:testDimensionMismatchSolution,0.13
org.apache.commons.math3.linear.ArrayRealVectorTest:outerProduct,0.309
org.apache.commons.math3.genetics.DummyListChromosome:<init>,0.196
org.apache.commons.math.ode.ClassicalRungeKuttaIntegratorTest:testBigStep,0
org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest:testFullRank,0.038
org.apache.commons.math.linear.BlockRealMatrix:getRowVector,0
org.apache.commons.math3.geometry.partitioning.AbstractRegion:recurseIntersection,0.02
org.apache.commons.math.optimization.general.PowellOptimizerTest:testMaximizeQuadratic,0.01
org.apache.commons.math.linear.AbstractRealMatrix:solve,0
org.spaceroots.mantissa.estimation.LevenbergMarquardtEstimatorTest:PointModel,0
org.apache.commons.math.fraction.BigFraction:floatValue,0
org.apache.commons.math3.ode.nonstiff.DormandPrince853StepInterpolatorTest:derivativesConsistency,0.02
org.apache.commons.math3.linear.EigenDecomposition:getRealEigenvalue,0.309
org.apache.commons.math.linear.OpenMapRealVector:mapLog10ToSelf,0
org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D:negate,0.038
org.apache.commons.math3.optimization.direct.CMAESOptimizer:getStatisticsDHistory,0.309
org.apache.commons.math.linear.BlockFieldMatrix:scalarMultiply,0
org.apache.commons.math.linear.LUDecompositionImplTest:testThreshold,0
org.apache.commons.math3.stat.inference.ChiSquareTest:checkRectangular,0.03
org.apache.commons.math3.fraction.FractionTest:testMath835,0.038
org.apache.commons.math.ode.HighamHall54IntegratorTest:testKepler,0
org.apache.commons.math.analysis.integration.UnivariateRealIntegratorImpl:getEvaluations,0.015
org.apache.commons.math3.special.Beta:regularizedBeta,0.02
org.apache.commons.math.stat.univariate.SummaryStatistics:equals,0
org.apache.commons.math3.filter.DefaultProcessModel:getProcessNoise,0.309
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest:suite,0
org.apache.commons.math3.optim.linear.SimplexSolverTest:testMath828,0.038
org.spaceroots.mantissa.ode.GraggBulirschStoerIntegratorTest:testMinStep,0
org.apache.commons.math3.fraction.Fraction:longValue,0.309
org.apache.commons.math.geometry.euclidean.threeD.Plane:getPointAt,0.046
org.apache.commons.math3.optimization.linear.SimplexSolverTest:testMath828,0.038
org.apache.commons.math3.random.EmpiricalDistribution:getBinCount,0.309
org.apache.commons.math3.ml.clustering.DoublePoint:equals,0.038
org.apache.commons.math3.geometry.euclidean.threed.Vector3DFormatAbstractTest:testParsePositiveInfinity,0.065
org.apache.commons.math.linear.JacobiPreconditioner:solve,0.264
org.apache.commons.math3.distribution.ChiSquaredDistribution:isSupportLowerBoundInclusive,0.309
org.apache.commons.math.linear.DenseRealMatrixTest:testSetRowVector,0
org.spaceroots.mantissa.geometry.Vector3D:crossProduct,0
org.apache.commons.math.complex.ComplexUtilsTest:testPowNaNBase,0
org.apache.commons.math3.linear.SymmLQ:getSolution,0.09
org.apache.commons.math.linear.ArrayRealVectorTest:mapCbrt,0
org.apache.commons.math.linear.ArrayRealVector:mapSubtract,0
org.apache.commons.math3.util.MathUtilsTest:testSignLong,0.065
org.apache.commons.math.linear.FieldMatrixImplTest:testCopySubMatrix,0
org.apache.commons.math.geometry.euclidean.threed.Line:revertSelf,0
org.apache.commons.math.optimization.MultiStartOptimizer:optimize,0
org.apache.commons.math3.random.ISAACRandom:isaac3,0.065
org.apache.commons.math3.linear.Array2DRowFieldMatrix:copyOut,0.05
org.apache.commons.math3.distribution.HypergeometricDistributionTest:testMoreLargeValues,0.03
org.apache.commons.math3.distribution.PoissonDistributionTest:makeInverseCumulativeTestPoints,0.13
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction:computeSplineCoefficients,0.02
org.apache.commons.math3.distribution.NormalDistribution:getSolverAbsoluteAccuracy,0.309
org.apache.commons.math3.ode.nonstiff.GillStepInterpolator:computeInterpolatedStateAndDerivatives,0.02
org.apache.commons.math3.geometry.euclidean.oned.Interval:getInf,0.038
